iter	Logloss
0	0.6839299281
1	0.6756145481
2	0.6673922453
3	0.6595898975
4	0.6519581619
5	0.6450954119
6	0.6386357498
7	0.6331849133
8	0.6272221466
9	0.6223855516
10	0.6168172769
11	0.6114812018
12	0.6062579294
13	0.6017517304
14	0.5970226858
15	0.5925044198
16	0.5886663274
17	0.5847705332
18	0.5812574734
19	0.5772899664
20	0.5737968835
21	0.5702600298
22	0.5672884485
23	0.5641767705
24	0.5612905691
25	0.5583691628
26	0.5557360737
27	0.5528437363
28	0.5500251508
29	0.5475813722
30	0.5449790751
31	0.542594154
32	0.5405660948
33	0.5380794942
34	0.5360130146
35	0.5338381913
36	0.5320303585
37	0.5303233522
38	0.5286285921
39	0.5269347263
40	0.5254450297
41	0.5241187708
42	0.5226469241
43	0.5210362974
44	0.5192703288
45	0.5177026945
46	0.5164139143
47	0.5152737651
48	0.5138124885
49	0.5126093876
50	0.5113298453
51	0.5102761538
52	0.5091004742
53	0.507962757
54	0.5070004747
55	0.5059437302
56	0.5048976374
57	0.5039435449
58	0.5029828223
59	0.502064952
60	0.5012384085
61	0.500373004
62	0.4996565419
63	0.4988373248
64	0.4981147759
65	0.4972721084
66	0.4964220428
67	0.4955951734
68	0.494926904
69	0.49443215
70	0.4937417645
71	0.4930776457
72	0.4924527721
73	0.4917704039
74	0.4911618704
75	0.4905419332
76	0.4900185968
77	0.489478782
78	0.4889445741
79	0.4885347047
80	0.4880588917
81	0.4875583366
82	0.4870617305
83	0.4864783413
84	0.485931038
85	0.4854031425
86	0.4848967033
87	0.4844415824
88	0.4839935293
89	0.4835355928
90	0.4830101513
91	0.4825958077
92	0.4822393263
93	0.4818527711
94	0.4814596329
95	0.4810644926
96	0.4806899331
97	0.4803309386
98	0.479905353
99	0.4795879101
100	0.4790989442
101	0.4786431471
102	0.4783532665
103	0.4779797729
104	0.4775731918
105	0.4772663561
106	0.4769304542
107	0.4766780457
108	0.4764074766
109	0.4761631326
110	0.4758933713
111	0.4756517876
112	0.4753736118
113	0.475034894
114	0.4748273375
115	0.4744827207
116	0.4741656223
117	0.4738432625
118	0.4735598971
119	0.4733427841
120	0.4730571958
121	0.4728533691
122	0.4726117767
123	0.4723164046
124	0.4720551802
125	0.47182889
126	0.4715558342
127	0.471244614
128	0.4709593883
129	0.4707173363
130	0.4703921867
131	0.4701343064
132	0.4698958019
133	0.4697000113
134	0.4694918946
135	0.4692982621
136	0.4690833529
137	0.4688754308
138	0.4686659056
139	0.4684492208
140	0.4681967068
141	0.4678594411
142	0.467644774
143	0.4674886402
144	0.4672353171
145	0.4670505072
146	0.4668552023
147	0.4666397044
148	0.4664311858
149	0.4662715393
150	0.4661200397
151	0.465961456
152	0.4658020113
153	0.4656113776
154	0.4654387707
155	0.4652111284
156	0.4649427086
157	0.4647342009
158	0.4645370707
159	0.4643586645
160	0.4642238345
161	0.4640659293
162	0.4639312178
163	0.46378371
164	0.4636248623
165	0.4633437531
166	0.4632167734
167	0.4630738117
168	0.4628902943
169	0.4627724716
170	0.462671417
171	0.4624498074
172	0.4623246694
173	0.462182549
174	0.4620024139
175	0.4618719076
176	0.4616952859
177	0.4614850586
178	0.4613477995
179	0.4611514555
180	0.4609984857
181	0.4608695645
182	0.460705064
183	0.4605478043
184	0.460409371
185	0.4601820005
186	0.4600011501
187	0.4598761316
188	0.4597621033
189	0.4595792639
190	0.4594360305
191	0.4592627571
192	0.45917886
193	0.4590504383
194	0.4589233737
195	0.4587537728
196	0.4586622738
197	0.4585547056
198	0.4584253085
199	0.4583548156
200	0.4582098401
201	0.4580807361
202	0.457945648
203	0.4578634023
204	0.4577587994
205	0.4576459214
206	0.4574882633
207	0.4573657279
208	0.4572781202
209	0.4571550814
210	0.4570111698
211	0.4569070865
212	0.4568370091
213	0.4567290342
214	0.4566391719
215	0.4565129721
216	0.4563625256
217	0.4563073663
218	0.4561949527
219	0.4561143431
220	0.4560071139
221	0.4559256894
222	0.4558160882
223	0.4556411465
224	0.4555071951
225	0.4553501361
226	0.4552350412
227	0.4550596707
228	0.4549513623
229	0.4547997247
230	0.4546387093
231	0.4544871742
232	0.4544308944
233	0.4543269581
234	0.4542393701
235	0.4540887944
236	0.4540034752
237	0.4538941819
238	0.4538104095
239	0.4536748379
240	0.4535818892
241	0.4535284587
242	0.4533597925
243	0.4532750717
244	0.4530681016
245	0.4529682351
246	0.4528295704
247	0.4527201829
248	0.4525956567
249	0.4524412024
250	0.4523663439
251	0.4522520965
252	0.4521409271
253	0.4520581858
254	0.4519925777
255	0.4518844774
256	0.4517316102
257	0.4516845874
258	0.4516212144
259	0.4515661426
260	0.4514719865
261	0.4513680677
262	0.4512772867
263	0.4511925338
264	0.4510891814
265	0.4509692974
266	0.4508786274
267	0.450679587
268	0.4505553438
269	0.4504606343
270	0.4504013581
271	0.4503287125
272	0.450268458
273	0.4501350333
274	0.4499756132
275	0.4498725144
276	0.4498168141
277	0.4496727798
278	0.4495915123
279	0.4495051559
280	0.4493592958
281	0.449249181
282	0.4490745754
283	0.4489518081
284	0.4488738078
285	0.4487870548
286	0.4486503738
287	0.4484758029
288	0.4484360403
289	0.4483378763
290	0.4482357841
291	0.4481261302
292	0.4480021885
293	0.4479085378
294	0.4478385443
295	0.4477917628
296	0.4477024682
297	0.4475646049
298	0.447481984
299	0.4473637956
300	0.4471907352
301	0.4471125085
302	0.4470686789
303	0.4469822558
304	0.4469269799
305	0.4468597208
306	0.4467491462
307	0.4466480215
308	0.4465645168
309	0.4464721491
310	0.4463440571
311	0.446285075
312	0.4462375987
313	0.4461603732
314	0.4460198538
315	0.4458949384
316	0.4457760012
317	0.4456562081
318	0.4456030807
319	0.445536569
320	0.4454865748
321	0.4453863445
322	0.4453681894
323	0.4453626152
324	0.4452886024
325	0.4451481308
326	0.4450775589
327	0.4449024949
328	0.4447859729
329	0.444685431
330	0.4445606285
331	0.4444263302
332	0.4443715522
333	0.4442335326
334	0.4441469115
335	0.4440272468
336	0.4439188632
337	0.4438371509
338	0.4437613859
339	0.4437141612
340	0.4436260447
341	0.4435369782
342	0.4434357887
343	0.4433449745
344	0.4432983075
345	0.4431792288
346	0.4430823122
347	0.4429779909
348	0.4429301766
349	0.4428467122
350	0.4427758364
351	0.4427256929
352	0.4426257239
353	0.4425028458
354	0.44244671
355	0.4423734365
356	0.4421080722
357	0.4420322785
358	0.4419619599
359	0.4418686557
360	0.4417940515
361	0.4417034343
362	0.4416164558
363	0.4414436159
364	0.4413471869
365	0.4412683762
366	0.4411530165
367	0.4410428225
368	0.4409614674
369	0.4408780822
370	0.4407796489
371	0.4407426349
372	0.440708093
373	0.440606682
374	0.4405011266
375	0.4403845157
376	0.4403228019
377	0.4402246296
378	0.4400725468
379	0.4399869538
380	0.4398939315
381	0.4397985097
382	0.4397410783
383	0.4396743065
384	0.4395715031
385	0.4395042268
386	0.4394088532
387	0.4393665841
388	0.4392449683
389	0.4391253697
390	0.4390634115
391	0.4388731286
392	0.4387586468
393	0.4386331592
394	0.4384948982
395	0.4384225448
396	0.4383494738
397	0.4382998668
398	0.4382229308
399	0.4381606683
